0,1,2,3,4,5
0.5779,0.2073,2.115,-0.903,-0.7430000000000001,0.067
0.601,0.1842,2.115,-0.903,-0.836,0.201
0.5779,0.2073,2.115,-0.903,-0.7430000000000001,0.134
0.5779,0.2073,2.115,-0.993,-0.836,0.134
0.5779,0.2303,2.115,-0.903,-0.836,0.201
0.601,0.2073,2.115,-0.903,-0.7430000000000001,0.201
0.601,0.2073,2.115,-0.993,-0.836,0.134
0.5779,0.2073,2.115,-0.903,-0.7430000000000001,0.067
0.601,0.1842,2.115,-0.903,-0.65,0.067
0.601,0.2073,2.2471,-0.993,-0.65,0.067
0.601,0.1842,2.115,-0.903,-0.7430000000000001,0.134
0.5547,0.1842,2.115,-0.903,-0.7430000000000001,0.134
0.5779,0.1842,2.115,-0.903,-0.7430000000000001,0.134
0.5779,0.1842,2.2471,-0.903,-0.836,0.134
0.5547,0.1842,2.115,-0.903,-0.836,0.201
0.601,0.2073,2.2471,-0.993,-0.65,0.067
0.601,0.2073,2.115,-0.8119999999999999,-0.7430000000000001,0.268
0.5779,0.2073,2.115,-0.903,-0.7430000000000001,0.201
0.601,0.1842,2.115,-0.903,-0.65,0.201
0.601,0.2073,2.2471,-0.993,-0.7430000000000001,0.134
0.5779,0.1842,2.115,-0.903,-0.7430000000000001,0.134
0.601,0.1842,2.115,-0.903,-0.7430000000000001,0.201
0.601,0.2073,2.115,-0.8119999999999999,-0.836,0.134
0.5779,0.2073,2.115,-0.903,-0.7430000000000001,0.134
0.601,0.1842,2.115,-0.8119999999999999,-0.7430000000000001,0.134
0.601,0.2073,2.115,-0.8119999999999999,-0.7430000000000001,0.134
0.5779,0.1842,2.115,-0.903,-0.7430000000000001,0.134
0.601,0.1842,2.115,-0.993,-0.836,0.134
0.5779,0.2073,2.115,-0.8119999999999999,-0.836,0.134
0.601,0.1842,2.115,-0.903,-0.7430000000000001,0.134
0.601,0.1842,2.115,-0.8119999999999999,-0.836,0.134
0.601,0.2073,2.115,-0.903,-0.836,0.134
0.5779,0.1842,2.115,-0.903,-0.65,-0.0
0.601,0.2073,1.9828,-0.8119999999999999,-0.836,0.067
0.601,0.2073,2.115,-0.903,-0.65,0.067
0.5779,0.2073,1.9828,-0.722,-0.836,0.201
0.601,0.2073,2.115,-0.8119999999999999,-0.7430000000000001,0.134
0.601,0.2073,2.115,-0.8119999999999999,-0.7430000000000001,0.201
0.601,0.2073,1.9828,-0.8119999999999999,-0.836,0.134
0.5779,0.1842,2.115,-0.903,-0.65,0.067
0.5779,0.1842,2.115,-0.903,-0.7430000000000001,0.134
0.5779,0.1842,2.115,-0.903,-0.7430000000000001,0.134
0.5779,0.2073,2.115,-0.8119999999999999,-0.7430000000000001,0.134
0.601,0.1842,2.115,-0.8119999999999999,-0.7430000000000001,0.134
